sp17,0,
sp18,0,
sp22,1,
sp24,0,
sp25,0,
sp27,0,
sp28,0,
sp29,1,
sp30,0,
sp31,1,
sp33,1,
sp34,1,
sp36,0,
sp39,0,
sp40,0,
sp41,1,
sp42,1,
sp43,1,
sp44,1,
sp45,0,
sp46,1,
sp47,1,
sp48,1,
sp49,0,
sp50,1,
sp51,1,
sp52,1,
sp53,1,
sp54,1,
sp55,0,
sp56,1,
sp57,1,
sp59,1,
sp60,1,
sp61,1,
sp62,1,
sp64,0,
sp65,0,
sp67,1,
sp68,1,
sp69,1,
sp70,1,
sp71,1,
sp72,0,
sp73,0,
sp74,1,
sp76,1,
sp77,0,
sp79,1,
sp80,1,
sp81,1,
sp82,0,
sp83,0,
sp84,1,
sp85,1,
sp86,1,
sp87,1,
sp89,1,
sp90,1,
sp92,0,
sp93,0,
sp94,1,
sp95,1,
sp96,1,
sp97,1,
sp98,1,
sp99,1,
sp100,0,
sp101,1,
sp102,1,
sp103,1,
sp104,1,
sp105,1,
sp106,1,
sp107,1,
sp108,1,
sp109,1,
sp111,1,
sp112,1,
sp113,1,
sp114,1,
sp115,0,
sp116,0,
sp117,0,
sp118,1,
sp119,1,
sp120,1,
sp121,1,
sp122,1,
sp123,1,
sp124,1,
sp126,0,
sp127,1,
sp128,1,
sp129,1,
sp130,1,
sp131,1,
sp132,1,
sp133,1,
sp134,1,
sp135,1,
sp136,1,
sp137,1,
sp138,1,
sp139,1,
sp140,1,
sp141,1,
sp142,1,
sp143,1,
sp144,1,
sp145,1,
sp146,0,
sp147,0,
sp148,1,
sp149,1,
sp150,0,
sp151,0,
sp152,1,
sp153,1,
sp154,1,
sp155,1,
sp156,1,
sp157,1,
sp158,0,
sp159,0,
sp160,1,
sp161,1,
sp162,1,
sp163,1,
sp164,1,
sp165,1,
sp166,1,
sp167,1,
sp168,1,
sp169,1,
sp170,1,
sp171,1,
sp172,1,
sp173,1,
sp174,1,
sp175,1,
sp176,1,
sp177,1,
sp178,1,
sp179,1,
sp180,1,
sp181,1,
sp182,1,
sp183,1,
sp184,1,
sp185,1,
sp186,1,
sp187,1,
sp188,1,
sp189,1,
sp190,1,
sp191,0,
sp192,0,
sp193,1,
sp194,1,
sp195,1,
sp196,1,
sp197,1,
sp198,1,
sp199,1,
sp200,1,
sp201,1,
sp202,1,
sp203,1,
sp204,1,
sp205,1,
sp206,1,
sp207,0,
sp208,0,
sp209,0,
sp210,0,
