sp8,0,
sp11,0,
sp27,0,
sp29,1,
sp30,0,
sp32,1,
sp37,0,
sp38,1,
sp39,1,
sp40,0,
sp43,0,
sp44,0,
sp45,0,
sp46,0,
sp47,1,
sp49,1,
sp50,1,
sp51,1,
sp52,0,
sp53,1,
sp56,0,
sp57,1,
sp58,1,
sp59,0,
sp60,1,
sp63,1,
sp64,1,
sp65,1,
sp66,1,
sp67,0,
sp68,1,
sp69,1,
sp70,0,
sp71,0,
sp73,1,
sp74,1,
sp75,1,
sp76,1,
sp77,1,
sp79,1,
sp80,1,
sp82,1,
sp83,1,
sp84,0,
sp85,1,
sp86,0,
sp87,0,
sp88,0,
sp89,0,
sp90,1,
sp91,0,
sp92,0,
sp93,0,
sp94,1,
sp95,1,
sp96,0,
sp97,1,
sp98,1,
sp99,0,
sp100,0,
sp101,1,
sp102,0,
sp103,1,
sp104,1,
sp105,1,
sp106,1,
sp107,1,
sp108,1,
sp109,1,
sp110,1,
sp111,0,
sp112,1,
sp113,1,
sp114,1,
sp115,1,
sp116,1,
sp117,1,
sp118,0,
sp119,0,
sp120,1,
sp121,0,
sp122,0,
sp123,1,
sp124,1,
sp125,1,
sp126,0,
sp127,0,
sp128,1,
sp129,1,
sp130,1,
sp131,1,
sp132,1,
sp133,1,
sp134,0,
sp135,0,
sp136,1,
sp137,0,
sp138,0,
sp139,1,
sp140,1,
sp141,1,
sp142,1,
sp143,0,
sp144,0,
sp145,1,
sp146,1,
sp147,0,
sp148,0,
sp149,1,
sp150,1,
sp151,0,
sp152,1,
sp153,1,
sp154,1,
sp155,1,
sp156,1,
sp157,1,
sp158,1,
sp159,1,
sp160,0,
sp161,0,
